cond,id,age,thetaBB,likBB,Gamenr_n
4,24,1,30,138.6829213,188
4,24,1,0.665274016,116.4067338,189
4,24,1,1.270960487,132.4892812,190
4,24,1,0.573680103,111.6784622,191
4,24,1,1.978418911,136.4808382,192
4,25,1,5.605344416,138.3113658,193
4,25,1,2.063771943,136.1889544,194
4,25,1,0.823829443,122.4269653,195
4,25,1,0.494050283,92.76230596,196
4,25,1,0.504055245,102.0799322,197
4,25,1,0.823897162,123.874024,198
4,25,1,0.396687339,73.4767496,199
4,25,1,0.742228557,121.2951439,200
4,26,1,9.024351814,138.5112846,201
4,26,1,1.533184387,134.6967274,202
4,26,1,0.968005907,127.5925533,203
4,26,1,0.82169775,129.4707996,204
4,26,1,1.580402434,135.6189294,205
4,26,1,2.151724268,136.7601928,206
4,26,1,2.014980261,136.0844637,207
4,26,1,1.325024111,133.0675024,208
4,27,1,2.595378061,137.4266897,209
4,27,1,0.842474949,123.1407231,210
4,27,1,0.564047349,106.0625035,211
4,27,1,0.684127736,119.0429363,212
4,27,1,0.642062693,115.830913,213
4,27,1,0.759927698,122.0005031,214
4,27,1,0.627204946,111.0692081,215
4,27,1,1.873428043,136.5976613,216
4,28,1,0.414401883,77.64244344,217
4,28,1,0.003,74.04736609,218
4,28,1,0.605199976,111.1857939,219
4,28,1,0.003,126.4529479,220
4,28,1,0.427597121,87.051134,221
4,28,1,0.221023674,83.80586565,222
4,28,1,0.003,128.3781278,223
4,28,1,0.556393676,103.6011165,224
4,29,1,2.112427428,136.5751749,225
4,29,1,6.073590341,138.3889144,226
4,29,1,4.131587031,138.0856059,227
4,29,1,30,138.7845521,228
4,29,1,3.88740832,138.1732475,229
4,29,1,30,138.9302672,230
4,29,1,4.118496219,138.112874,231
4,29,1,9.877320557,138.5409033,232
4,101,2,0.581035146,115.651259,233
4,101,2,0.489406747,123.1645247,234
4,101,2,0.217237767,35.59759685,235
4,101,2,0.363522353,68.97886152,236
4,101,2,0.435555176,102.305046,237
4,101,2,0.252485389,112.8155153,238
4,101,2,0.560096109,120.4587847,239
4,101,2,0.003,65.41575064,240
4,102,2,0.767859692,128.9737348,241
4,102,2,1.885707249,136.4545387,242
4,102,2,30,139.0771162,243
4,102,2,1.026628007,129.9967373,244
4,102,2,2.367269594,137.4255571,245
4,102,2,30,138.7001729,246
4,102,2,0.14989638,22.49408863,247
4,102,2,0.465291329,92.06209808,248
4,103,2,30,138.6803838,249
4,103,2,30,138.8705331,250
4,103,2,30,138.6666351,251
4,103,2,30,138.9383866,252
4,103,2,30,138.7342309,253
4,103,2,30,138.6499362,254
4,103,2,30,138.6575019,255
4,103,2,1.112901725,132.5359473,256
4,104,2,0.542784392,110.7074788,257
4,104,2,0.575375502,106.3266845,258
4,104,2,1.032770256,128.68393,259
4,104,2,0.722515509,119.5799768,260
4,104,2,0.736228997,119.2155079,261
4,104,2,0.354098348,62.99942373,262
4,104,2,0.54703848,105.1440067,263
4,104,2,0.809893182,122.846266,264
4,105,2,0.622929219,114.8666332,265
4,105,2,0.917079426,128.0585955,266
